,Website,Review
0,yelp.com,See all 45 photos
1,yelp.com,See all 45 photos
2,yelp.com,I called Amtrak and they were running on-time and had room on the 
3,yelp.com, in the late afternoon!
4,yelp.com,Amtrak service in the 
5,yelp.com, is nothing short of outstanding.
6,yelp.com, has standard Amtrak fare so if you want something better get it at the station.
7,yelp.com,Allow our professionals to wait and or arrive curbside in a timely manner. Comfort and punctuality are what we thrive on. We guarantee a comfortable and pleasant experience. Free refreshments provided with every trip.
8,yelp.com,"""I don't give five stars and am rather abrasive with my reviews (I am also glad humans don't have a review system as I'm sure I wouldn't make great marks but now I'm getting off track thanks to Black Mirror) ... where was I... oh…"""
9,yelp.com,"NEW ENGLAND 24/7 transportation services specializing in: New customers 10% off Airports rides ( T.F Green & Logan) Special occasions ( weddings, graduation, party...) Dr appointments Packages delivery Any other rides also…"
10,yelp.com,"Your trust is our top concern, so businesses can't pay to alter or remove their reviews. Learn more about reviews."
11,yelp.com,"Your trust is our top concern,"
12,yelp.com,so businesses can't pay to alter or remove their reviews. 
13,yelp.com,"Amtrak has always been a reliable transportation for me to get to NYC from Boston. Its clean, has comfortable coach seats and the customer service is awesome. I lost my wallet during a trip from NY to BOS, I ran to the ticketing booth to see if they could help me contact the conductor. Danielle from the ticketing booth was able to contact the conductor, Dan, and they were able to help me find my wallet! They were incredibly nice and understanding. 10/10 would always recommend taking the Amtrak from BOS to NYC."
14,yelp.com,"Not a bad way to head to New York or Philadelphia if the price is right and if everything runs on time - both of which are big ifs. The Acela trains are generally the fastest option between Boston and New York since you don't have to wade thru traffic on both ends in getting to the airport. They're also reasonably comfortable inside, with seats that offer enough width and leg room so that you can get things done on your laptop or snooze cozily. They can be just as - if not more - expensive than flying, but you can get good deals if you can buy more than 14 days beforehand. They're not truly ""high-speed"" in a European sense, though, and the ""business class"" cabin is similar to what would be 2nd-class in Europe. The Northeast Regional trains are slower, not just because they might stop at more stations, but also because they can be deprioritized behind Acela and freight trains - so delays can cascade dramatically. Coach-class seats have better legroom than planes but are still anything but glamorous, especially if everyone around you is yakking on their phones. All this having been said, they're usually cheaper than Acela trains. Again, if everything runs on time and you can get a reasonably priced fare, Acela is definitely the way to go to New York or Philly. It still takes too long to get to DC, though, so flying is much faster and usually cheaper."
15,yelp.com,"Rotting on stopped Amtrak California Zephyr. No idea when trip will resume. Conductor chimes in occasionally with jokes, apparently thinks it's funny. Buyer beware...this is third world stuff."
16,yelp.com,"Canyon Country, Santa Clarita, CA"
17,yelp.com,"Amtrak is one of my favorite ways to travel. Either between Boston and Providence or to NYC. Why drive when you can sit and enjoy the ride? No traffic to deal with, cold beverages and snacks at your leisure, restrooms etc. To me, Amtrak travel is a no brainer. I suggest booking your tickets as soon as you can because the price is often wayyyy cheaper when there is plenty of time before your trip. Tickets can sometimes double if not triple in price if you wait for the last minute."
18,yelp.com,"Overall, the Acela experience to and from PHL to BOS was very pleasant.  On the way up, the experience was nearly perfect with helpful staff. I opted for the QUIET car, which, for the most part, was observed.  The wifi was strong and there was  plug if you needed to power up any electric gear.  The seat was comfy. It was really cold in there with the AC blasting, but glad I had a jacket to keep me warm.On the way back, it was just slightly less pleasant, not all of Amtrak's fault.  I hadn't had a chance to eat, so after settling in to my seat and waiting a while, I headed up to the club car to get some snacks. The guy working there was really rude, almost yelling, ""I'm not open yet!""  Well, the next sentence should have been, ""Come back in XXXXX AMOUNT OF TIME!""  Instead, he made a shooing motion to go away.  When I tried to ask when I should come back, he literally turned his back on me and walked away.  OKAY.Otherwise, the experience was quite nice."
19,yelp.com,"Recently the NE regional has been abysmal with delays in excess of 2 hours even under optimal weather conditions. Given the price point (often hundreds of dollars between Boston and New York), consider driving or walking"
20,yelp.com,"Yo, can any IT person fix the wifi on these trains in coach in NEC? Us peasants need the free internet.  I think I took the Acela once from Boston to NYC Penn station and had no problems. Seats are comfortable and the train is fairly on time. Too bad we don't have high speed bullet trains like Japan. Definitely beats taking a flight since there's no TSA check-in, but you also have the drawback of no seats in south station to really wait for the train. There's pigeons flying everywhere inside the station ready to snatch your mcnuggets out of your grubby hands. Nothing fancy on the cafe train. Maybe the business class got steaks and lobster but then it'd be like snowpiercer the movie."
21,yelp.com,"My first experience with Amrak and it was fine.  I am a fan of public transportation in big cities, having taken subways and buses.  It was a little confusing knowing which train and which track, so we had to ask, but it got us where we needed to be.  We had round-trip spots to and from Boston and New London, CT.The guys who scanned our tickets after we were seated were very personable and helpful with questions."
22,yelp.com,"after a decade in Europe, this touted 150mph rail line for the NE corridor, is a joke. I don't think it travelled more than 6omph.  The ticket price I paid was $800 for first class. WOW. I could purchase a first class air line ticket for that price. the stations are dark and dirty, noisy, announcements are screamed so loudly to be not understandable. On the train there was a ticker that had a warning as if it was in a war zone. Maybe they could announce the stations instead, as the stations are not signed. why was this Acela stoping so frequently? slowed to a crawl through stations. the AC made the ride seem as if one was in a ice box. Interior not modern at all with big overstuffed chairs. this was not much faster than the regular train, so why all the hype?"
23,yelp.com,"So I haven't been on an Amtrack in a very long time. I was in Boston and needed to get to Philadelphia and my partners said ""don't go back to the airport take Amtrack Acela"" and since they were the locals I said okay. So the price was about the same as doing a AA flight out of Logan to Philly and the car was reasonable but the ride is just too long.  It was a 9:10am that arrived in Philly at 2:05pm.  This is just long....now if I was in NYC and needed to go to Philly for sure i would do it.This is a slow train because it just stops alot and at least there is Wifi that is fine for email but you cannot stream. Not in a hurry go for it.  NYC to Phily for sure, but Boston to NYC/Philly/WA it is just too long."
24,yelp.com,"""I don't usually post reviews but these guys were so good that I had to write this. Wonderful service, friendly, courteous and helpful drivers. Reliable, always on time, very reasonable prices. I randomly found this cab service…"""
25,yelp.com,"""I used this service for the first time to be picked up on an early morning at the airport. The communication was excellent before the day of the pick up. I received a phone call and an email, confirming all the details. I paid over…"""
26,yelp.com,"Because we are the best for safety,clean cars, clean drivers, and very friendly…"
27,yelp.com,Offering quick safe rides through out the South Shore and beyond @ $ 1.50 mile. $5…
